2025-03-28 08:51:04.988 | INFO     | __main__:<module>:41 - logger_test
2025-03-28 15:24:16.757 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 2, 0, 5, 0, 0, 0, 0, 0, 254]。动作模式为Y_move，使用米作为单位，原始移动距离为0.05m。
2025-03-28 15:24:17.084 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 15:24:17.085 | INFO     | __main__:move_Y:201 - 向左0.05m
2025-03-28 15:24:26.745 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 3, 0, 0, 1, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为1度
2025-03-28 15:24:27.095 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 15:24:27.097 | INFO     | __main__:rotate:216 - 向左转1°
2025-03-28 11:08:02.829 | INFO     | __main__:__init__:71 - 正在初始化串口
2025-03-28 11:08:02.850 | INFO     | __main__:__init__:78 - 串口成功初始化
2025-03-28 11:08:12.621 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 1, 255, 251, 0, 0, 0, 0, 0, 254]。动作模式为X_move，使用米作为单位，原始移动距离为-0.05m。
2025-03-28 11:08:12.962 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 11:08:12.963 | INFO     | __main__:move_X:187 - 后退-0.05m
2025-03-28 11:08:38.220 | INFO     | __main__:__init__:71 - 正在初始化串口
2025-03-28 11:08:38.237 | INFO     | __main__:__init__:78 - 串口成功初始化
2025-03-28 11:08:44.411 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 3, 0, 0, 71, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为71度
2025-03-28 11:08:45.992 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 11:08:45.993 | INFO     | __main__:rotate:216 - 向左转71°
2025-03-28 11:08:59.825 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 3, 0, 0, 72, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为72度
2025-03-28 11:09:01.421 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 11:09:01.421 | INFO     | __main__:rotate:218 - 向右转 -72°
2025-03-28 11:10:30.802 | INFO     | __main__:__init__:71 - 正在初始化串口
2025-03-28 11:10:30.817 | INFO     | __main__:__init__:78 - 串口成功初始化
2025-03-28 11:10:35.775 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 3, 0, 0, 72, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为72度
2025-03-28 11:10:37.368 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 11:10:37.369 | INFO     | __main__:rotate:218 - 向右转 -72°
2025-03-28 11:11:56.782 | INFO     | __main__:__init__:71 - 正在初始化串口
2025-03-28 11:11:56.797 | INFO     | __main__:__init__:78 - 串口成功初始化
2025-03-28 11:12:02.770 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 3, 0, 0, 72, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为72度
2025-03-28 11:12:04.354 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 11:12:04.355 | INFO     | __main__:rotate:218 - 向右转 -72°
2025-03-28 11:12:15.794 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 1, 0, 5, 0, 0, 0, 0, 0, 254]。动作模式为X_move，使用米作为单位，原始移动距离为0.05m。
2025-03-28 11:12:16.128 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 11:12:16.128 | INFO     | __main__:move_X:185 - 向前0.05m
2025-03-28 11:14:06.539 | INFO     | __main__:__init__:71 - 正在初始化串口
2025-03-28 11:14:06.554 | INFO     | __main__:__init__:78 - 串口成功初始化
2025-03-28 11:14:14.202 | DEBUG    | __main__:__send_serial_msg:169 - 向下位机发送了10个字节的数据，数据内容为[255, 3, 0, 0, 184, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为184度
2025-03-28 11:14:15.783 | INFO     | __main__:__send_serial_msg:171 - 接收到串口消息，下位机动作执行完毕
2025-03-28 11:14:15.783 | INFO     | __main__:rotate:217 - 向右转 -72°
2025-04-16 17:25:53.805 | INFO     | MoveControl:__init__:73 - 正在初始化串口
2025-04-16 17:25:53.831 | INFO     | MoveControl:__init__:80 - 串口成功初始化
2025-04-16 17:43:43.236 | INFO     | MoveControl:__init__:73 - 正在初始化串口
2025-04-16 17:43:43.239 | INFO     | MoveControl:__init__:80 - 串口成功初始化
2025-04-16 19:38:24.966 | INFO     | MoveControl:__init__:73 - 正在初始化串口
2025-04-16 19:38:24.969 | INFO     | MoveControl:__init__:80 - 串口成功初始化
2025-04-16 19:41:34.921 | INFO     | MoveControl:__init__:73 - 正在初始化串口
2025-04-16 19:41:34.922 | INFO     | MoveControl:__init__:80 - 串口成功初始化
2025-04-16 19:41:36.754 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 1, 0, 10, 0, 0, 0, 0, 0, 0, 254]。动作模式为X_move，使用米作为单位，原始移动距离为0.1m。
2025-04-16 19:41:37.197 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:41:37.198 | INFO     | MoveControl:move_X:209 - 向前0.1m
2025-04-16 19:41:45.059 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 1, 255, 246, 0, 0, 0, 0, 0, 0, 254]。动作模式为X_move，使用米作为单位，原始移动距离为-0.1m。
2025-04-16 19:41:45.509 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:41:45.512 | INFO     | MoveControl:move_X:211 - 后退-0.1m
2025-04-16 19:41:47.624 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 2, 255, 246, 0, 0, 0, 0, 0, 0, 254]。动作模式为Y_move，使用米作为单位，原始移动距离为-0.1m。
2025-04-16 19:41:48.074 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:41:48.079 | INFO     | MoveControl:move_Y:227 - 向右-0.1m
2025-04-16 19:41:49.912 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 2, 0, 10, 0, 0, 0, 0, 0, 0, 254]。动作模式为Y_move，使用米作为单位，原始移动距离为0.1m。
2025-04-16 19:41:50.361 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:41:50.362 | INFO     | MoveControl:move_Y:225 - 向左0.1m
2025-04-16 19:41:52.114 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 3, 0, 0, 166, 0, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为166度
2025-04-16 19:41:53.851 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:41:53.852 | INFO     | MoveControl:rotate:242 - 向右转 -90°
2025-04-16 19:41:55.472 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 3, 0, 0, 90, 0, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为90度
2025-04-16 19:41:57.213 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:41:57.214 | INFO     | MoveControl:rotate:240 - 向左转90°
2025-04-16 19:43:26.246 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 1, 0, 10, 0, 0, 0, 0, 0, 0, 254]。动作模式为X_move，使用米作为单位，原始移动距离为0.1m。
2025-04-16 19:43:26.700 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:43:26.702 | INFO     | MoveControl:move_X:209 - 向前0.1m
2025-04-16 19:43:40.767 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 2, 255, 246, 0, 0, 0, 0, 0, 0, 254]。动作模式为Y_move，使用米作为单位，原始移动距离为-0.1m。
2025-04-16 19:43:41.217 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:43:41.218 | INFO     | MoveControl:move_Y:227 - 向右-0.1m
2025-04-16 19:43:44.753 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 2, 0, 10, 0, 0, 0, 0, 0, 0, 254]。动作模式为Y_move，使用米作为单位，原始移动距离为0.1m。
2025-04-16 19:43:45.203 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:43:45.204 | INFO     | MoveControl:move_Y:225 - 向左0.1m
2025-04-16 19:45:06.617 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 1, 0, 10, 0, 0, 0, 0, 0, 0, 254]。动作模式为X_move，使用米作为单位，原始移动距离为0.1m。
2025-04-16 19:45:07.068 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:45:07.069 | INFO     | MoveControl:move_X:209 - 向前0.1m
2025-04-16 19:46:41.367 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 1, 0, 10, 0, 0, 0, 0, 0, 0, 254]。动作模式为X_move，使用米作为单位，原始移动距离为0.1m。
2025-04-16 19:46:41.816 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:46:41.817 | INFO     | MoveControl:move_X:209 - 向前0.1m
2025-04-16 19:46:43.938 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 2, 0, 10, 0, 0, 0, 0, 0, 0, 254]。动作模式为Y_move，使用米作为单位，原始移动距离为0.1m。
2025-04-16 19:46:44.388 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:46:44.389 | INFO     | MoveControl:move_Y:225 - 向左0.1m
2025-04-16 19:46:45.672 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 2, 255, 246, 0, 0, 0, 0, 0, 0, 254]。动作模式为Y_move，使用米作为单位，原始移动距离为-0.1m。
2025-04-16 19:46:46.121 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:46:46.123 | INFO     | MoveControl:move_Y:227 - 向右-0.1m
2025-04-16 19:46:47.414 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 3, 0, 0, 90, 0, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为90度
2025-04-16 19:46:49.151 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:46:49.152 | INFO     | MoveControl:rotate:240 - 向左转90°
2025-04-16 19:50:03.493 | DEBUG    | MoveControl:__send_serial_msg:194 - 向下位机发送了11个字节的数据，数据内容为[255, 3, 0, 0, 90, 0, 0, 0, 0, 0, 254]。动作模式为旋转，使用度作为单位，原始输入为90度
2025-04-16 19:50:05.235 | INFO     | MoveControl:__send_serial_msg:196 - 接收到串口消息，下位机动作执行完毕
2025-04-16 19:50:05.236 | INFO     | MoveControl:rotate:240 - 向左转90°
